PROVIDER_ID,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score,std_weight_PatientExperience,std_weight_Readmission,std_weight_Mortality,std_weight_safety,std_weight_Process,weight_PatientExperience,weight_Outcomes_Readmission,weight_Outcomes_Mortality,weight_Outcomes_Safety,weight_Process,summary_score,Outcomes_Mortality_cnt,Outcomes_safety_cnt,Outcomes_Readmission_cnt,Patient_Experience_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,report_indicator,cnt_grp,star
020006,-1.412866136,0.2881348276,-0.349687555,0.033866777,0.2270213383,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.289678898,6,7,10,8,10,5,2,1,3) # of groups=5,2
020008,0.6488264901,-0.148479048,0.1169236336,0.8036298637,0.435869931,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.3649025984,4,3,9,8,8,5,2,1,3) # of groups=5,4
020012,-3.013353211,1.225844659,-0.760324732,0.4348221227,-0.995351485,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.584304633,5,5,10,8,11,5,2,1,3) # of groups=5,2
020017,0.0463087974,-1.154294115,0.5194634657,-0.221918779,0.0490862193,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.172406592,7,7,9,8,8,5,2,1,3) # of groups=5,3
020018,0.1145687585,1.0905504676,1.4806425566,-0.463918542,-0.657357797,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.4099225774,1,1,3,8,4,3,0,0,,
020024,-0.647487162,-0.156506178,-0.739564486,0.4657327224,-0.679538073,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.318666091,4,4,9,8,10,5,2,1,3) # of groups=5,2
020026,0.1779537564,0.9830844995,0.143801815,-0.91112057,1.0720875992,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.2152688022,6,7,7,8,7,5,2,1,3) # of groups=5,4
02013F,,,,1.1200260707,-0.691826643,0.22,0.22,0.22,0.22,0.12,0.6470588235,,,,0.3529411765,0.4805486425,0,0,0,8,2,1,0,0,,
02014F,,,,0.9810736203,0.4594995276,0.22,0.22,0.22,0.22,0.12,0.6470588235,,,,0.3529411765,0.7969886464,0,0,0,8,2,1,0,0,,
021301,,,,,-0.002324804,0.22,0.22,0.22,0.22,0.12,,,,,1,-0.002324804,0,0,0,0,3,1,0,0,,
021302,,,,,-0.027959252,0.22,0.22,0.22,0.22,0.12,,,,,1,-0.027959252,0,0,0,0,3,1,0,0,,
021304,,-1.814091249,,,0.3339283223,0.22,0.22,0.22,0.22,0.12,,0.6470588235,,,0.3529411765,-1.055966695,0,0,1,0,1,0,0,0,,
021305,,-0.52565737,,,1.5121523691,0.22,0.22,0.22,0.22,0.12,,0.6470588235,,,0.3529411765,0.1935695966,0,0,1,0,2,0,0,0,,
021306,,-0.31091839,,,0.2617096481,0.22,0.22,0.22,0.22,0.12,,0.6470588235,,,0.3529411765,-0.108814377,0,0,1,0,3,1,0,0,,
021307,,,,,1.1224850248,0.22,0.22,0.22,0.22,0.12,,,,,1,1.1224850248,0,0,0,0,2,0,0,0,,
021308,0.8033945509,-1.490122303,,,,0.22,0.22,0.22,0.22,0.12,,0.5,0.5,,,-0.343363876,1,0,2,0,0,0,0,0,,
021309,,0.1185595692,,,1.2555983593,0.22,0.22,0.22,0.22,0.12,,0.6470588235,,,0.3529411765,0.5198673775,0,0,1,0,2,0,0,0,,
021310,,,,,1.352026629,0.22,0.22,0.22,0.22,0.12,,,,,1,1.352026629,0,0,0,0,2,0,0,0,,
021311,1.3334214487,0.2965171373,0.8613099106,1.0434613223,0.8413323806,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.8785960458,1,2,5,8,9,3,0,0,,
021312,0.4929660665,-1.626099184,,,0.3611727702,0.22,0.22,0.22,0.22,0.12,,0.3928571429,0.3928571429,,0.2142857143,-0.367765274,1,0,2,0,2,0,0,0,,
021313,0.4469831285,-0.445724253,,1.0824431833,-1.322465776,0.22,0.22,0.22,0.22,0.12,0.2820512821,0.2820512821,0.2820512821,,0.1538461538,0.1022032819,1,0,5,8,9,3,0,0,,
021314,-1.262594586,0.0009309953,,,1.6247890618,0.22,0.22,0.22,0.22,0.12,,0.3928571429,0.3928571429,,0.2142857143,-0.147484469,2,0,3,0,2,1,0,0,,
030002,0.3373098368,0.0567951842,-0.034588496,-0.374784482,-0.754831023,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.093938673,7,7,10,8,9,5,2,1,3) # of groups=5,3
030006,-0.332405163,0.0356569008,0.4494633623,-0.798900655,0.2937703401,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.106908381,7,8,11,8,9,5,2,1,3) # of groups=5,3
030007,0.1130965487,2.0578893545,0.8544819525,-0.300156923,-0.525014933,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.5365666133,5,4,9,8,11,5,2,1,3) # of groups=5,5
030010,-0.63198161,-0.185189821,0.1618181498,-1.271922369,-0.580497649,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.493660361,7,6,8,8,9,5,2,1,3) # of groups=5,2
030011,-0.587295381,0.9444320116,0.9534909282,-1.416905236,-1.164360529,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.163104352,6,7,10,8,8,5,2,1,3) # of groups=5,3
030012,-0.887075844,0.002454963,0.1616140879,-1.133723566,-0.700201469,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.492504855,7,7,11,8,12,5,2,1,3) # of groups=5,2
030013,-0.946778537,-0.162075339,0.2357431875,-1.18408243,-0.69600163,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.536102681,7,8,11,8,11,5,2,1,3) # of groups=5,2
030014,-0.507774546,0.2028660102,0.2012902782,-0.29717688,-1.371902658,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.252803249,6,8,10,8,9,5,2,1,3) # of groups=5,2
030016,0.0504207823,-0.711812949,0.5844837527,-1.476267331,-0.323673605,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.380539497,5,6,7,8,10,5,2,1,3) # of groups=5,2
