"Facility ID","Measure ID","Value","Footnote","Start Date","End Date"
050603,MSPB-1,1.012532,,01/01/2019,12/31/2019
050604,MSPB-1,0.900243,,01/01/2019,12/31/2019
050608,MSPB-1,0.946340,,01/01/2019,12/31/2019
050609,MSPB-1,0.937492,,01/01/2019,12/31/2019
050616,MSPB-1,0.938980,,01/01/2019,12/31/2019
050624,MSPB-1,0.991918,,01/01/2019,12/31/2019
050625,MSPB-1,1.051396,,01/01/2019,12/31/2019
050633,MSPB-1,0.971575,,01/01/2019,12/31/2019
050636,MSPB-1,1.005127,,01/01/2019,12/31/2019
050641,MSPB-1,1.183239,,01/01/2019,12/31/2019
050663,MSPB-1,1.298510,,01/01/2019,12/31/2019
050668,MSPB-1,N/A,1,01/01/2019,12/31/2019
050674,MSPB-1,0.955560,,01/01/2019,12/31/2019
050677,MSPB-1,0.796296,,01/01/2019,12/31/2019
050678,MSPB-1,0.999204,,01/01/2019,12/31/2019
050684,MSPB-1,0.947453,,01/01/2019,12/31/2019
050686,MSPB-1,0.944705,,01/01/2019,12/31/2019
050689,MSPB-1,0.979345,,01/01/2019,12/31/2019
050690,MSPB-1,0.807072,,01/01/2019,12/31/2019
050696,MSPB-1,1.002186,,01/01/2019,12/31/2019
050697,MSPB-1,0.733141,,01/01/2019,12/31/2019
050701,MSPB-1,0.941381,,01/01/2019,12/31/2019
050704,MSPB-1,1.200939,,01/01/2019,12/31/2019
050708,MSPB-1,0.869075,,01/01/2019,12/31/2019
050709,MSPB-1,0.949964,,01/01/2019,12/31/2019
050710,MSPB-1,0.792642,,01/01/2019,12/31/2019
050714,MSPB-1,0.960947,,01/01/2019,12/31/2019
050717,MSPB-1,0.837688,,01/01/2019,12/31/2019
050723,MSPB-1,0.883249,,01/01/2019,12/31/2019
050724,MSPB-1,0.985695,,01/01/2019,12/31/2019
050726,MSPB-1,0.886885,,01/01/2019,12/31/2019
050735,MSPB-1,1.246686,,01/01/2019,12/31/2019
050736,MSPB-1,1.038028,,01/01/2019,12/31/2019
050737,MSPB-1,1.137439,,01/01/2019,12/31/2019
050738,MSPB-1,1.403614,,01/01/2019,12/31/2019
050739,MSPB-1,1.069941,,01/01/2019,12/31/2019
050740,MSPB-1,1.086568,,01/01/2019,12/31/2019
050742,MSPB-1,1.187342,,01/01/2019,12/31/2019
050744,MSPB-1,1.178486,,01/01/2019,12/31/2019
050745,MSPB-1,1.201146,,01/01/2019,12/31/2019
050746,MSPB-1,1.113601,,01/01/2019,12/31/2019
050747,MSPB-1,1.383775,,01/01/2019,12/31/2019
050748,MSPB-1,0.895264,,01/01/2019,12/31/2019
050755,MSPB-1,1.099104,,01/01/2019,12/31/2019
050757,MSPB-1,1.071208,,01/01/2019,12/31/2019
050758,MSPB-1,1.081086,,01/01/2019,12/31/2019
